,fixed m,fixed m ppl,fixed m all parameters
0,27.038424250000077,0.005,"[1, 27.03842, 0.02785]"
1,108.15369700000008,0.002,"[1, 108.1537, 0.03113]"
2,432.6147880000001,0.002,"[1, 432.61479, 0.03203]"
3,757.0758790000001,0.002,"[1, 757.07588, 0.03216]"
4,1081.53697,0.002,"[1, 1081.53697, 0.03222]"
5,1081.53697,0.002,"[1, 1081.53697, 0.03222]"
6,1405.9980610000002,0.002,"[1, 1405.99806, 0.03225]"
7,1730.4591520000004,0.002,"[1, 1730.45915, 0.03226]"
8,2054.9202430000005,0.002,"[1, 2054.92024, 0.03228]"
9,2379.3813340000006,0.002,"[1, 2379.38133, 0.03228]"
10,2703.8424250000007,0.002,"[1, 2703.84243, 0.03229]"
11,3028.303516000001,0.002,"[1, 3028.30352, 0.0323]"
12,3352.764607000001,0.002,"[1, 3352.76461, 0.0323]"
13,3677.225698000001,0.002,"[1, 3677.2257, 0.0323]"
14,4001.686789000001,0.002,"[1, 4001.68679, 0.03231]"
15,4326.147880000001,0.002,"[1, 4326.14788, 0.03231]"
16,4650.6089710000015,0.002,"[1, 4650.60897, 0.03231]"
17,4975.070062000002,0.002,"[1, 4975.07006, 0.03231]"
18,5299.531153000002,0.002,"[1, 5299.53115, 0.03231]"
19,5623.992244000002,0.002,"[1, 5623.99224, 0.03232]"
20,5948.453335000002,0.002,"[1, 5948.45334, 0.03232]"
21,6272.914426000002,0.002,"[1, 6272.91443, 0.03232]"
22,6597.375517000002,0.002,"[1, 6597.37552, 0.03232]"
23,6921.836608000002,0.002,"[1, 6921.83661, 0.03232]"
24,7246.2976990000025,0.002,"[1, 7246.2977, 0.03232]"
25,7570.758790000003,0.002,"[1, 7570.75879, 0.03232]"
26,7895.219881000003,0.002,"[1, 7895.21988, 0.03232]"
27,8219.680972000002,0.002,"[1, 8219.68097, 0.03232]"
28,8544.142063000001,0.002,"[1, 8544.14206, 0.03232]"
29,8868.603154,0.002,"[1, 8868.60315, 0.03233]"
30,9193.064245,0.002,"[1, 9193.06424, 0.03233]"
31,9517.525335999999,0.002,"[1, 9517.52534, 0.03233]"
32,9841.986426999998,0.002,"[1, 9841.98643, 0.03233]"
33,10166.447517999997,0.002,"[1, 10166.44752, 0.03233]"
34,10490.908608999996,0.002,"[1, 10490.90861, 0.03233]"
35,10815.369699999996,0.002,"[1, 10815.3697, 0.03233]"
36,11139.830790999995,0.002,"[1, 11139.83079, 0.03233]"
37,11464.291881999994,0.002,"[1, 11464.29188, 0.03233]"
38,11788.752972999993,0.002,"[1, 11788.75297, 0.03233]"
39,12113.214063999993,0.002,"[1, 12113.21406, 0.03233]"
40,12437.675154999992,0.002,"[1, 12437.67515, 0.03233]"
41,12762.136245999991,0.002,"[1, 12762.13625, 0.03233]"
42,13086.59733699999,0.002,"[1, 13086.59734, 0.03233]"
43,13411.05842799999,0.002,"[1, 13411.05843, 0.03233]"
44,13735.519518999989,0.002,"[1, 13735.51952, 0.03233]"
45,14059.980609999988,0.002,"[1, 14059.98061, 0.03233]"
46,14384.441700999987,0.002,"[1, 14384.4417, 0.03233]"
47,14708.902791999986,0.002,"[1, 14708.90279, 0.03233]"
48,15033.363882999985,0.002,"[1, 15033.36388, 0.03233]"
49,15357.824973999985,0.002,"[1, 15357.82497, 0.03233]"
50,15682.286064999984,0.002,"[1, 15682.28606, 0.03233]"
51,16006.747155999983,0.002,"[1, 16006.74716, 0.03233]"
52,16331.208246999982,0.002,"[1, 16331.20825, 0.03233]"
53,16655.66933799998,0.002,"[1, 16655.66934, 0.03233]"
54,16980.130428999983,0.002,"[1, 16980.13043, 0.03233]"
