,b,m,w,b*,m*,w*,chi_sq,r_sq,redchi_sq,success,model,chi_sq_list,Simulation results,x,exp_data,exp_error
0,1,1754.4932685996976,0.0391905,1,1569.215847437836,0.0391905,15.467316605927259,0.9973972453677545,2.2096166579896077,True,<games.models.synTF.synTF object at 0x7f70dc93f550>,"[15.739708620767537, 15.739708615372285, 15.739708615372285, 15.739708615372285, 15.739711200589541, 15.469955238084472, 15.469954942977651, 15.467322911012166, 15.467322898349995, 15.467316606023866, 15.467316605981583, 15.467316605927259, 15.467316605927259, 15.467316605927259]","[0.00072343387914507, 0.08402116123355527, 0.18792489834380294, 0.3212338104605681, 0.49870797763810865, 0.7475655748225346, 0.8981385792143051, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
1,1,1267.440430855257,0.0391905,1,1569.2152231696189,0.0391905,15.46731660596036,0.9973972453677411,2.2096166579943373,True,<games.models.synTF.synTF object at 0x7f70dc93ed40>,"[16.851351469465243, 16.85135146940539, 16.85135146940539, 16.85135146940539, 16.851341925751914, 15.489866179306771, 15.48986525841211, 15.46732899712545, 15.467328977848437, 15.467316605982159, 15.467316606012648, 15.46731660596036, 15.46731660596036, 15.46731660596036]","[0.0007234341667347507, 0.08402116149717573, 0.1879248985780728, 0.3212338106559284, 0.49870797778234854, 0.74756557489602, 0.8981385792436565, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
2,1,1025.932898698875,0.0391905,1,1569.2147153076114,0.0391905,15.467316605971504,0.9973972453677331,2.2096166579959293,True,<games.models.synTF.synTF object at 0x7f70dcc802b0>,"[22.310615863049836, 22.310615863027003, 22.310615863027003, 22.310615863027003, 22.31058660382799, 15.769926871511064, 15.769923084922269, 15.46881026029079, 15.468810028810307, 15.467316630553423, 15.467316631497498, 15.467316605971504, 15.467316605971504, 15.467316605971504]","[0.0007234344006982887, 0.08402116171164331, 0.18792489876783905, 0.32123381081487506, 0.4987079779000072, 0.7475655749547312, 0.8981385792675793, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
3,1,3443.5095863112697,0.0391905,1,1569.2144507063515,0.0391905,15.467316605975403,0.9973972453677262,2.209616657996486,True,<games.models.synTF.synTF object at 0x7f70dcc80160>,"[22.708316279885327, 22.70831627988051, 22.70831627988051, 22.70831627988051, 22.708321014505888, 95.25570285287955, 21.206364207099742, 21.206369300509923, 18.559173892106468, 18.559179154227156, 15.577253433543747, 15.57725518155154, 15.46767105073877, 15.467670940035854, 15.467316608594562, 15.467316608322925, 15.467316605975403, 15.467316605975403, 15.467316605975403]","[0.0007234345225956932, 0.08402116182337872, 0.18792489886679958, 0.3212338108976736, 0.4987079779610238, 0.747565574985781, 0.8981385792800028, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
4,1,1400.602511902105,0.0391905,1,1569.2153011575804,0.0391905,15.467316605980416,0.9973972453676638,2.209616657997202,True,<games.models.synTF.synTF object at 0x7f70dc93fb80>,"[15.821202910319116, 15.821202910194524, 15.821202910194524, 15.821202910194524, 15.821198765047992, 15.469315544603663, 15.469315278712333, 15.467316670721353, 15.467316669243573, 15.467316605980416, 15.467316605980416, 15.467316605980416]","[0.0007234341308070092, 0.08402116146424124, 0.18792489854848876, 0.32123381063151807, 0.49870797776417153, 0.7475655748891232, 0.8981385792399755, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
5,1,2383.745140353434,0.0391905,1,1569.2161358426213,0.0391905,15.467316605982075,0.9973972453676376,2.2096166579974397,True,<games.models.synTF.synTF object at 0x7f70dc93d990>,"[18.32025516083503, 18.320255160743894, 18.320255160743894, 18.320255160743894, 18.32026038751695, 16.449854265909295, 16.449846591465306, 15.479757865344302, 15.47975718973479, 15.467321900977776, 15.467321889805088, 15.467316606177485, 15.467316606091762, 15.467316605982075, 15.467316605982075, 15.467316605982075]","[0.0007234337462820152, 0.0840211611117686, 0.187924898235793, 0.32123381037032206, 0.4987079775712644, 0.7475655747926322, 0.8981385792007642, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
6,1,2641.512535551523,0.0391905,1,1569.2170636945564,0.0391905,15.467316605982543,0.9973972453676856,2.209616657997506,True,<games.models.synTF.synTF object at 0x7f70dcc807f0>,"[19.49414812630978, 19.494148126052398, 19.494148126052398, 19.494148126052398, 19.494153431189254, 18.81795263944877, 18.81793531015762, 16.329483886302242, 16.32947681470334, 15.477251244971377, 15.477250642635763, 15.467320251077972, 15.467320242800936, 15.467316606128874, 15.467316606035636, 15.467316605982543, 15.467316605982543, 15.467316605982543]","[0.0007234333188371236, 0.08402116071995315, 0.18792489788868944, 0.3212338100799738, 0.4987079773570512, 0.747565574683227, 0.8981385791571784, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
7,1,1594.3399669045284,0.0391905,1,1569.213663604513,0.0391905,15.467316605993094,0.9973972453677332,2.209616657999013,True,<games.models.synTF.synTF object at 0x7f70dc93fc70>,"[15.473381089803379, 15.473381089803528, 15.473381089803528, 15.473381089803528, 15.473381535280042, 15.467317492902652, 15.467317487424948, 15.467316605993094, 15.467316605993094, 15.467316605993094]","[0.0007234348852006399, 0.08402116215575293, 0.18792489916150457, 0.3212338111439568, 0.4987079781426202, 0.7475655750775355, 0.8981385793169125, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
8,1,3115.1130017904457,0.0391905,1,1569.2181424412488,0.0391905,15.467316606002926,0.9973972453676903,2.2096166580004177,True,<games.models.synTF.synTF object at 0x7f70dc93ecb0>,"[21.4861060471349, 21.486106047164892, 21.486106047164892, 21.486106047164892, 21.486111082960026, 37.78359281079627, 18.84298986483476, 18.842995158537153, 15.677830328577853, 15.677832646262287, 15.468742166095788, 15.468741942173029, 15.467316644824258, 15.46731664363031, 15.467316606002926, 15.467316606002926, 15.467316606002926]","[0.0007234328218783467, 0.08402116026442034, 0.1879248974844969, 0.32123380974241056, 0.49870797710763826, 0.7475655745573929, 0.8981385791065177, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
9,1,2074.3878674570756,0.0391905,1,1569.215765072056,0.0391905,15.467316606013839,0.997397245367627,2.209616658001977,True,<games.models.synTF.synTF object at 0x7f70dc93ffd0>,"[16.916206233265626, 16.916206233313854, 16.916206233313854, 16.916206233313854, 16.916210840665705, 15.602940594877076, 15.602938186864382, 15.467652893960768, 15.467652786216425, 15.467316609650036, 15.467316609300147, 15.467316606013839, 15.467316606013839, 15.467316606013839]","[0.0007234339170896136, 0.08402116126834375, 0.1879248983750906, 0.32123381048636784, 0.49870797765724756, 0.7475655748361422, 0.898138579218241, 1.0]","[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]"
